word,category,score,memo
볼일,일반명사,,
빈칸,일반명사,,
내친김,일반명사,,
빈방,일반명사,,
만듦새,일반명사,,
복슬복슬,일반부사,,
복슬복슬하,형용사,,
던전,일반명사,,
햇,체언접두사,,
식,명사파생접미사,,
선,명사파생접미사,,
점등,일반명사,,
매일매일,일반부사,,
매일매일,일반명사,,
한번,일반부사,,
어린애,일반명사,,
어린아이,일반명사,,
큰일,일반명사,,
어린나무,일반명사,,
ᆫ지,연결어미,,
ᆫ지,종결어미,,
한번,일반부사,,
착목,일반명사,,
ᆫ걸,종결어미,,
파티시에,일반명사,,
네놈,일반명사,,
다인원,일반명사,,사전 미등재
홀로그램,일반명사,,
본뜨,동사,,
까매지,동사,,
파래지,동사,,
퍼레지,동사,,
건내,동사,,오타 검출용
멋드러지,형용사,,오타 검출용
떼우,동사,,오타 검출용
어쭙찮,형용사,,오타 검출용
붙히,동사,,오타 검출용
얽히고섥히,동사,,오타 검출용
얼키고설키,동사,,오타 검출용
얽키고섥히,동사,,오타 검출용
얽히고섥이,동사,,오타 검출용
꺼매지,동사,,오타 검출용
꺼메지,동사,,오타 검출용
퍼래지,동사,,오타 검출용
